TransactionID,Date,ProductCategory,ProductName,Quantity,UnitPrice,Discount(%),TotalAmount,Profit,PaymentMode,CustomerType,StoreLocation
100021,2023-07-11,Fruits,Mango,15,,20,1398.6,211.54,Card,Regular,Rural
100022,2023-10-04,Fruits,Mango,3,189.67,5,540.56,95.16,Card,Member,Urban
100023,2023-06-10,Dairy,Yogurt,12,201.55,0,2418.6,663.31,Cash,New,Urban
100024,2023-11-10,Household,Detergent,9,488.46,0,4396.14,1022.67,UPI,New,Urban
100025,2023-01-22,Snacks,Chocolate,12,477.79,0,5733.48,965.19,,Regular,Semi-Urban
100026,2023-09-10,Vegetables,Onion,15,402.07,0,6031.05,1427.79,UPI,Member,Semi-Urban
100027,2023-08-24,Snacks,Nuts,2,128.41,0,256.82,26.69,Card,Member,Urban
100028,2023-12-11,Beverages,Coffee,18,43.34,15,663.1,163.87,Card,New,Semi-Urban
100029,2023-02-18,Vegetables,Potato,12,165.28,0,1983.36,391.52,Cash,Regular,Semi-Urban
100030,2023-02-28,Dairy,Milk,4,140.73,0,562.92,147.84,Cash,New,Rural
100031,2023-06-19,Dairy,Milk,16,257.9,0,4126.4,1200.48,,Regular,Semi-Urban
100032,2023-07-07,Household,Cleaner,16,391.09,10,5631.7,1605.92,UPI,Regular,Rural
100033,2023-09-28,Vegetables,Potato,1,430.58,5,409.05,115.29,,Regular,Urban
100034,2023-07-09,Fruits,Mango,2,423.98,5,805.56,163.07,Cash,New,Semi-Urban
100035,2023-06-24,Vegetables,Onion,3,186.24,0,558.72,96.12,Card,Regular,Rural
100036,2023-02-20,Beverages,Soda,17,346.74,10,5305.12,1023.93,Cash,New,Semi-Urban
100037,2023-12-30,Fruits,Apple,1,163.29,0,163.29,38.86,Card,New,Rural
100038,2023-02-24,Dairy,Cheese,6,39.84,15,203.18,56.24,Cash,Member,Rural
100039,2023-09-01,Vegetables,Tomato,15,-100.0,5,5041.22,712.82,Cash,New,Semi-Urban
100040,2023-11-16,Snacks,Biscuits,14,14.82,0,207.48,58.85,UPI,New,Urban
100041,2023-05-11,Household,Cleaner,15,210.5,0,3157.5,830.54,Card,Member,Rural
100042,2023-11-03,Snacks,Chips,14,171.4,5,2279.62,674.25,Cash,Member,Urban
100043,2023-05-15,Household,Cleaner,5,349.75,0,1748.75,482.74,Cash,Member,Semi-Urban
100044,2023-01-21,Beverages,Tea,6,-100.0,15,1965.85,306.65,Card,Regular,Semi-Urban
100045,2023-11-25,Snacks,Chips,17,159.01,0,2703.17,327.6,Cash,Regular,Urban
100046,2023-06-16,Vegetables,Tomato,11,407.7,0,4484.7,549.14,Card,Member,Semi-Urban
100047,2023-10-01,Vegetables,Carrot,16,154.02,0,2464.32,389.97,UPI,Regular,Rural
100048,2023-03-30,Snacks,Nuts,12,,0,2744.4,611.55,UPI,Member,Urban
100049,2023-11-12,Vegetables,Carrot,-5,366.24,0,5493.6,1433.08,Card,Regular,Semi-Urban
100050,2023-01-14,Beverages,Tea,4,349.53,0,1398.12,391.26,UPI,New,Semi-Urban
100051,2023-08-30,Fruits,Orange,18,493.81,5,8444.15,1897.83,Card,Regular,Urban
100052,2023-09-22,Beverages,Coffee,3,,0,360.99,36.51,Cash,Regular,Rural
100053,2023-12-12,Household,Cleaner,8,334.54,20,2141.06,293.89,Cash,New,Urban
100054,2023-02-22,Beverages,Tea,3,308.74,5,879.91,105.54,Card,Member,Semi-Urban
100055,2023-12-06,Household,Soap,8,458.4,10,3300.48,569.88,Cash,Regular,Semi-Urban
100056,2023-04-02,Vegetables,Tomato,18,86.62,0,1559.16,312.25,UPI,Regular,Urban
100057,2023-09-21,Fruits,Orange,10,378.38,0,3783.8,411.22,Cash,New,Rural
100058,2023-02-04,Vegetables,Carrot,17,288.45,0,4903.65,832.13,Cash,New,Rural
100059,2023-07-25,Dairy,Cheese,8,144.59,5,1098.88,149.27,Card,New,Rural
100060,2023-03-22,Vegetables,Carrot,11,242.47,15,2267.09,520.1,UPI,New,Urban
100061,2023-02-19,Household,Detergent,5,173.55,0,867.75,167.35,Cash,Member,Rural
100062,2023-12-26,Vegetables,Carrot,13,293.86,0,3820.18,760.46,Cash,Regular,Rural
100063,2023-01-02,Vegetables,Tomato,5,445.61,15,1893.84,351.38,Card,Regular,Rural
100064,2023-02-23,Fruits,Orange,13,288.96,0,3756.48,1093.9,Card,Regular,Rural
100065,2023-04-16,Vegetables,Onion,6,319.54,5,1821.38,260.36,UPI,Regular,Semi-Urban
100066,2023-09-17,Fruits,Apple,5,264.19,5,1254.9,255.16,Cash,Member,Urban
100067,2023-11-06,Snacks,Biscuits,9,-100.0,10,284.07,70.22,Card,Regular,Urban
100068,2023-07-10,Dairy,Cheese,16,124.1,0,1985.6,419.69,Card,Member,Rural
100069,2023-08-06,Fruits,Banana,2,251.08,0,502.16,143.52,Card,Member,Urban
100070,2023-02-13,Household,Soap,1,162.02,5,153.92,27.03,UPI,New,Urban
100071,2023-06-11,Snacks,Biscuits,8,99.06,15,673.61,129.83,Card,New,Semi-Urban
100072,2023-07-21,Fruits,Apple,19,,0,4883.57,574.82,UPI,Regular,Urban
100073,2023-09-27,Fruits,Mango,11,168.18,0,1849.98,410.33,UPI,Member,Semi-Urban
100074,2023-12-17,Dairy,Yogurt,12,136.47,5,1555.76,245.25,Cash,New,Urban
100075,2023-10-31,Household,Soap,12,237.35,15,2420.97,319.72,Cash,Member,Semi-Urban
100076,2023-09-28,Beverages,Tea,7,75.31,10,474.45,99.12,UPI,New,Semi-Urban
100077,2023-08-03,Beverages,Coffee,13,464.6,20,4831.84,997.59,Cash,Member,Urban
100078,2023-09-09,Fruits,Banana,8,435.17,0,3481.36,400.96,Cash,Regular,Semi-Urban
100079,2023-07-09,Vegetables,Tomato,9,356.73,0,3210.57,769.39,Card,Regular,Semi-Urban
100080,2023-10-23,Household,Detergent,7,62.04,5,412.57,92.73,Cash,Member,Urban
100081,2023-08-01,Snacks,Biscuits,15,390.18,10,5267.43,725.87,UPI,New,Semi-Urban
100082,2023-07-27,Vegetables,Onion,2,405.9,0,811.8,157.4,Cash,New,Semi-Urban
100083,2023-08-25,Vegetables,Potato,12,386.2,0,4634.4,1131.09,Card,Regular,Semi-Urban
100084,2023-12-04,Household,Cleaner,1,65.84,10,59.26,12.2,UPI,Regular,Semi-Urban
100085,2023-02-22,Fruits,Mango,-5,325.51,0,2604.08,466.39,Cash,Regular,Semi-Urban
100086,2023-10-07,Fruits,Apple,5,418.82,0,2094.1,344.41,UPI,New,Rural
100087,2023-08-05,Fruits,Banana,15,292.9,5,4173.82,926.92,Cash,New,Semi-Urban
100088,2023-09-09,Fruits,Apple,1,326.74,5,310.4,89.34,Card,Regular,Semi-Urban
100089,2023-07-07,Beverages,Soda,1,-100.0,10,211.14,49.48,Cash,Member,Semi-Urban
100090,2023-02-10,Fruits,Apple,10,269.07,0,2690.7,309.29,UPI,New,Semi-Urban
100091,2023-06-06,Beverages,Soda,10,26.84,5,254.98,48.99,UPI,Regular,Urban
100092,2023-01-15,Beverages,Soda,15,323.09,5,4604.03,1280.68,UPI,Member,Rural
100093,2023-10-28,Fruits,Banana,17,49.91,5,806.05,95.83,Cash,New,Urban
100094,2023-03-06,Dairy,Cheese,6,223.16,5,1272.01,378.77,Cash,Member,Rural
100095,2023-12-11,Snacks,Biscuits,3,153.4,0,460.2,133.37,Cash,Member,Semi-Urban
100096,2023-11-23,Vegetables,Potato,13,277.26,0,3604.38,416.86,Card,New,Semi-Urban
100097,2023-01-09,Beverages,Soda,16,75.37,0,1205.92,345.72,Card,Regular,Rural
100098,2023-12-10,Household,Detergent,8,348.91,0,2791.28,481.85,Card,Member,Rural
100099,2023-05-09,Household,Detergent,15,399.56,5,5693.73,1531.28,UPI,Regular,Urban
100100,2023-05-16,Snacks,Chips,17,90.04,10,1377.61,253.04,UPI,New,Rural
100101,2023-03-04,Household,Cleaner,17,61.11,10,934.98,175.94,UPI,Member,Semi-Urban
100102,2023-05-19,Dairy,Cheese,13,81.3,10,951.21,215.78,UPI,Member,Urban
100103,2023-03-22,Household,Cleaner,17,439.79,0,7476.43,1905.71,UPI,Member,Rural
100104,2023-06-12,Vegetables,Potato,6,268.81,0,1612.86,172.19,Cash,Member,Rural
100105,2023-10-16,Vegetables,Potato,17,238.96,0,4062.32,888.15,UPI,Member,Urban
100106,2023-09-18,Beverages,Juice,16,62.29,0,996.64,136.89,Cash,New,Rural
100107,2023-08-19,Fruits,Mango,14,328.28,0,4595.92,777.58,Card,Member,Semi-Urban
100108,2023-02-10,Dairy,Yogurt,13,435.32,5,5376.2,911.77,Card,New,Urban
100109,2023-01-28,Beverages,Juice,6,415.81,20,1995.89,386.83,Card,Regular,Rural
100110,2023-05-15,Dairy,Butter,3,316.77,0,950.31,158.54,Card,New,Semi-Urban
100111,2023-07-20,Fruits,Mango,14,46.89,0,656.46,79.74,Card,Member,Rural
100112,2023-11-24,Household,Soap,14,65.07,10,819.88,105.87,UPI,Regular,Urban
100113,2023-09-25,Household,Soap,15,34.16,0,512.4,54.67,UPI,New,Rural
100114,2023-02-02,Fruits,Mango,8,136.16,10,980.35,190.24,UPI,New,Rural
100115,2023-02-17,Beverages,Tea,15,76.47,10,1032.34,300.3,Card,New,Rural
100116,2023-03-03,Fruits,Apple,13,137.42,15,1518.49,186.98,Card,Member,Semi-Urban
100117,2023-08-04,Snacks,Biscuits,17,198.68,0,3377.56,976.97,Cash,Member,Semi-Urban
100118,2023-10-20,Vegetables,Onion,3,472.06,5,1345.37,331.87,UPI,New,Rural
100119,2023-04-09,Beverages,Tea,6,309.08,0,1854.48,421.89,Card,New,Rural
100120,2023-06-21,Dairy,Yogurt,5,419.14,5,1990.91,456.03,Card,Regular,Urban
100121,2023-12-26,Snacks,Nuts,17,358.07,0,6087.19,1615.21,Card,Member,Rural
100122,2023-08-02,Beverages,Soda,2,65.13,0,130.26,15.81,Cash,Member,Urban
100123,2023-02-04,Fruits,Apple,15,370.6,5,5281.05,1061.23,Card,Regular,Semi-Urban
100124,2023-08-15,Fruits,Mango,5,144.8,5,687.8,164.67,,New,Rural
100125,2023-04-11,Fruits,Mango,6,323.16,10,1745.06,379.31,Cash,New,Urban
100126,2023-05-11,Fruits,Orange,6,177.07,10,956.18,254.87,UPI,Regular,Semi-Urban
100127,2023-09-14,Dairy,Yogurt,18,498.86,5,8530.51,976.35,Card,New,Urban
100128,2023-01-05,Snacks,Nuts,18,139.14,0,2504.52,596.43,Cash,New,Semi-Urban
100129,2023-08-06,Household,Tissue,4,146.77,10,528.37,109.27,Card,Regular,Rural
100130,2023-09-12,Vegetables,Carrot,17,466.03,5,7526.38,1323.38,,Regular,Urban
100131,2023-12-25,Dairy,Butter,14,22.08,15,262.75,44.16,UPI,Regular,Rural
100132,2023-10-10,Dairy,Cheese,14,351.38,15,4181.42,937.33,Cash,New,Urban
100133,2023-07-26,Household,Detergent,13,365.41,0,4750.33,1321.54,UPI,Regular,Semi-Urban
100134,2023-01-15,Household,Soap,7,419.83,10,2644.93,526.96,UPI,New,Urban
100135,2023-12-12,Vegetables,Carrot,-5,487.48,0,5849.76,1549.86,UPI,Member,Urban
100136,2023-02-11,Vegetables,Onion,15,488.04,0,7320.6,1320.87,Card,Member,Rural
100137,2023-06-28,Household,Soap,19,41.99,5,757.92,91.31,Card,Regular,Rural
100138,2023-03-04,Fruits,Apple,11,412.7,0,4539.7,509.81,Cash,New,Rural
100139,2023-12-18,Dairy,Cheese,15,326.69,10,4410.32,486.31,Cash,New,Semi-Urban
100140,2023-08-19,Beverages,Tea,12,327.2,0,3926.4,691.16,UPI,New,Rural
100141,2023-08-29,Vegetables,Onion,3,72.89,0,218.67,36.62,UPI,Regular,Urban
100142,2023-02-21,Vegetables,Onion,17,328.59,5,5306.73,1292.65,Cash,New,Semi-Urban
100143,2023-04-06,Household,Detergent,3,491.42,10,1326.83,329.8,UPI,New,Rural
100144,2023-08-10,Snacks,Biscuits,19,456.79,15,7377.16,812.75,Cash,New,Urban
100145,2023-08-19,Beverages,Soda,4,225.17,10,810.61,116.91,Card,Member,Urban
100146,2023-08-25,Beverages,Soda,3,-100.0,5,84.27,13.05,UPI,New,Semi-Urban
100147,2023-05-23,Vegetables,Potato,16,187.52,0,3000.32,628.63,UPI,Member,Urban
100148,2023-06-20,Fruits,Mango,12,414.93,0,4979.16,641.83,UPI,New,Rural
100149,2023-01-29,Snacks,Nuts,8,353.73,0,2829.84,358.79,,New,Urban
100150,2023-02-05,Beverages,Tea,17,235.08,5,3796.54,1096.28,Card,New,Rural
100151,2023-01-13,Vegetables,Tomato,-5,37.0,5,246.05,64.18,UPI,Member,Rural
100152,2023-06-09,Beverages,Tea,11,219.18,0,2410.98,328.21,Cash,New,Semi-Urban
100153,2023-11-23,Snacks,Chips,18,239.82,10,3885.08,704.42,Card,Regular,Urban
100154,2023-07-06,Snacks,Biscuits,1,464.99,5,441.74,75.59,UPI,New,Semi-Urban
100155,2023-08-31,Dairy,Milk,3,324.13,0,972.39,251.07,UPI,Member,Semi-Urban
100156,2023-03-27,Household,Cleaner,4,162.71,0,650.84,131.5,Card,Member,Semi-Urban
100157,2023-10-11,Household,Cleaner,13,267.41,10,3128.7,392.87,Cash,Regular,Rural
100158,2023-03-07,Vegetables,Tomato,6,42.37,10,228.8,56.7,,Regular,Rural
100159,2023-06-19,Snacks,Nuts,14,486.56,15,5790.06,1038.61,Cash,Regular,Rural
100160,2023-02-14,Dairy,Cheese,5,186.43,0,932.15,142.23,Cash,Member,Rural
100161,2023-03-03,Dairy,Cheese,16,244.16,20,3125.25,547.23,Card,New,Urban
100162,2023-05-14,Beverages,Tea,15,184.09,0,2761.35,551.03,UPI,New,Urban
100163,2023-10-11,Beverages,Coffee,15,344.43,0,5166.45,871.18,UPI,Regular,Rural
100164,2023-01-28,Dairy,Milk,4,,20,1070.37,158.82,Cash,Regular,Rural
100165,2023-04-18,Beverages,Soda,8,360.51,0,2884.08,518.27,Card,New,Urban
100166,2023-02-13,Snacks,Nuts,16,141.39,5,2149.13,223.15,Card,Regular,Semi-Urban
100167,2023-12-06,Fruits,Banana,16,164.68,0,2634.88,670.58,Card,New,Semi-Urban
100168,2023-10-13,Snacks,Nuts,4,71.37,5,271.21,36.39,Cash,New,Rural
100169,2023-11-27,Dairy,Yogurt,13,331.2,15,3659.76,398.11,Cash,New,Semi-Urban
100170,2023-05-08,Dairy,Butter,13,29.5,0,383.5,88.49,,New,Rural
100171,2023-12-14,Snacks,Biscuits,2,302.86,5,575.43,146.61,Card,Member,Rural
100172,2023-08-19,Beverages,Juice,3,436.15,0,1308.45,343.82,Cash,New,Rural
100173,2023-07-09,Beverages,Tea,8,446.51,5,3393.48,674.29,Card,Regular,Urban
100174,2023-08-13,Household,Cleaner,15,230.03,0,3450.45,486.77,Cash,Regular,Semi-Urban
100175,2023-10-10,Dairy,Milk,11,235.06,0,2585.66,639.81,UPI,Regular,Urban
100176,2023-05-01,Vegetables,Onion,9,,0,429.39,103.03,Card,Regular,Semi-Urban
100177,2023-04-26,Household,Tissue,7,,0,2370.69,353.84,Cash,Member,Urban
100178,2023-08-21,Beverages,Coffee,13,412.42,15,4557.24,1279.13,Card,New,Urban
100179,2023-09-16,Snacks,Biscuits,2,129.88,0,259.76,31.4,Cash,New,Rural
100180,2023-12-25,Beverages,Soda,8,,0,1731.52,513.46,Cash,Regular,Rural
100181,2023-07-17,Snacks,Chips,7,421.03,0,2947.21,801.79,Cash,Regular,Urban
100182,2023-05-17,Household,Detergent,12,439.79,0,5277.48,1253.82,Card,Regular,Semi-Urban
100183,2023-11-14,Dairy,Yogurt,19,129.16,10,2208.64,635.53,Cash,New,Semi-Urban
100184,2023-06-14,Beverages,Juice,7,279.78,20,1566.77,383.02,UPI,Member,Rural
100185,2023-08-13,Snacks,Chips,10,104.32,0,1043.2,144.06,Card,Member,Rural
100186,2023-11-03,Dairy,Cheese,16,59.92,15,814.91,153.55,UPI,Member,Semi-Urban
100187,2023-08-22,Vegetables,Carrot,3,456.45,5,1300.88,148.69,UPI,Member,Semi-Urban
100188,2023-06-21,Snacks,Chips,10,412.05,0,4120.5,733.17,Card,Regular,Semi-Urban
100189,2023-06-01,Household,Tissue,6,,5,2179.79,541.29,Cash,New,Rural
100190,2023-11-11,Vegetables,Carrot,18,33.9,5,579.69,102.77,UPI,Regular,Semi-Urban
100191,2023-06-09,Vegetables,Carrot,-5,423.43,5,7240.65,1202.37,Card,Member,Rural
100192,2023-04-06,Fruits,Banana,5,224.64,15,954.72,209.15,Cash,Regular,Urban
100193,2023-08-21,Beverages,Tea,7,177.77,0,1244.39,341.51,Card,Member,Urban
100194,2023-06-29,Snacks,Chocolate,2,277.77,15,472.21,51.71,Card,New,Urban
100195,2023-04-23,Vegetables,Tomato,11,54.76,10,542.12,96.01,Card,Member,Semi-Urban
100196,2023-11-14,Fruits,Mango,13,380.76,0,4949.88,651.64,Cash,Regular,Rural
100197,2023-02-21,Household,Detergent,5,295.39,5,1403.1,335.44,UPI,New,Semi-Urban
100198,2023-09-25,Dairy,Yogurt,6,101.43,0,608.58,73.73,UPI,Member,Rural
100199,2023-10-22,Snacks,Nuts,14,102.23,20,1144.98,266.74,Card,Member,Semi-Urban
100200,2023-04-23,Vegetables,Potato,12,100.28,5,1143.19,179.75,Card,New,Urban
100201,2023-04-11,Beverages,Tea,4,37.93,0,151.72,21.21,Cash,Regular,Rural
100202,2023-04-23,Fruits,Mango,6,298.02,0,1788.12,513.67,Card,New,Semi-Urban
100203,2023-03-22,Vegetables,Carrot,10,421.77,5,4006.81,415.53,Card,Regular,Rural
100204,2023-07-06,Beverages,Tea,18,18.57,0,334.26,62.69,Card,Member,Rural
100205,2023-04-23,Vegetables,Potato,15,34.01,0,510.15,53.22,UPI,Member,Semi-Urban
100206,2023-01-02,Snacks,Chips,8,290.66,0,2325.28,457.43,Card,New,Semi-Urban
100207,2023-05-10,Snacks,Chocolate,9,411.55,0,3703.95,741.57,UPI,Member,Rural
100208,2023-08-08,Snacks,Chips,5,170.1,0,850.5,139.76,Cash,New,Rural
100209,2023-02-23,Household,Soap,10,181.31,0,1813.1,229.23,Cash,Member,Urban
100210,2023-12-09,Household,Cleaner,6,302.21,0,1813.26,317.82,UPI,Member,Rural
100211,2023-08-12,Fruits,Mango,16,144.36,5,2194.27,514.45,UPI,Regular,Urban
100212,2023-08-13,Snacks,Chips,3,23.04,5,65.66,16.84,UPI,New,Urban
100213,2023-05-06,Beverages,Juice,10,370.26,0,3702.6,763.29,UPI,New,Urban
100214,2023-05-10,Vegetables,Potato,11,316.57,0,3482.27,759.02,Card,Member,Rural
100215,2023-02-22,Dairy,Yogurt,11,294.57,5,3078.26,431.34,UPI,Regular,Urban
100216,2023-06-21,Beverages,Juice,17,373.43,0,6348.31,999.64,UPI,Regular,Rural
100217,2023-08-06,Household,Detergent,4,340.86,0,1363.44,180.49,UPI,New,Rural
100218,2023-06-09,Household,Tissue,4,110.88,0,443.52,66.47,Card,New,Semi-Urban
100219,2023-07-17,Beverages,Tea,17,182.72,10,2795.62,405.3,Card,Member,Rural
100220,2023-09-04,Household,Cleaner,9,71.79,10,581.5,118.56,Card,New,Rural
100221,2023-11-20,Snacks,Biscuits,19,73.63,10,1259.07,267.6,Cash,Member,Urban
100222,2023-07-22,Fruits,Orange,5,341.34,10,1536.03,443.9,Card,Regular,Rural
100223,2023-07-03,Vegetables,Tomato,6,430.71,5,2455.05,341.53,UPI,New,Rural
100224,2023-05-03,Fruits,Mango,-5,481.74,0,1445.22,329.99,Card,Regular,Semi-Urban
100225,2023-09-12,Vegetables,Tomato,1,317.89,5,302.0,79.56,Card,Regular,Semi-Urban
100226,2023-10-21,Vegetables,Tomato,16,100.21,0,1603.36,339.99,UPI,Member,Urban
100227,2023-10-07,Fruits,Orange,11,61.77,5,645.5,97.47,Card,Regular,Urban
100228,2023-11-21,Beverages,Juice,13,408.3,10,4777.11,728.56,Cash,Member,Semi-Urban
100229,2023-04-08,Vegetables,Onion,10,293.59,5,2789.1,300.81,Card,Member,Semi-Urban
100230,2023-07-17,Fruits,Mango,3,312.96,0,938.88,151.24,Cash,Regular,Rural
100231,2023-08-28,Vegetables,Carrot,9,392.92,0,3536.28,880.25,Cash,Regular,Urban
100232,2023-05-24,Dairy,Milk,12,354.61,5,4042.55,442.67,Cash,Member,Urban
100233,2023-04-07,Beverages,Soda,14,418.88,5,5571.1,801.45,UPI,Member,Rural
100234,2023-07-20,Snacks,Chocolate,1,37.54,15,31.91,7.7,Card,Regular,Rural
100235,2023-05-04,Vegetables,Onion,18,376.29,0,6773.22,1737.54,,Member,Urban
100236,2023-07-06,Dairy,Milk,17,426.92,10,6531.88,1248.0,Cash,Member,Semi-Urban
100237,2023-11-22,Snacks,Chocolate,9,150.21,5,1284.3,307.74,Card,New,Semi-Urban
100238,2023-12-15,Snacks,Chocolate,9,323.82,15,2477.22,439.93,,New,Rural
100239,2023-09-16,Vegetables,Potato,10,163.94,5,1557.43,205.55,UPI,New,Urban
100240,2023-05-28,Fruits,Banana,19,479.41,5,8653.35,1554.4,Cash,New,Rural
100241,2023-09-09,Vegetables,Tomato,15,26.38,5,375.92,81.2,UPI,New,Semi-Urban
100242,2023-12-12,Dairy,Cheese,5,294.1,10,1323.45,383.29,Card,Member,Semi-Urban
100243,2023-05-27,Snacks,Chips,15,91.59,20,1099.08,125.02,UPI,Member,Rural
100244,2023-05-28,Vegetables,Carrot,2,358.99,0,717.98,144.66,Card,New,Semi-Urban
100245,2023-12-18,Fruits,Apple,13,96.19,0,1250.47,207.31,Cash,Regular,Urban
100246,2023-07-18,Vegetables,Carrot,16,125.34,15,1704.62,343.76,Card,New,Rural
100247,2023-11-04,Beverages,Juice,15,252.24,5,3594.42,376.68,Cash,Regular,Rural
100248,2023-05-08,Fruits,Orange,10,458.27,5,4353.56,707.91,Card,Member,Rural
100249,2023-02-08,Dairy,Cheese,14,113.74,0,1592.36,420.34,Card,Regular,Semi-Urban
100250,2023-12-04,Snacks,Nuts,10,,0,806.8,170.06,UPI,Member,Urban
100251,2023-12-26,Vegetables,Tomato,14,381.9,10,4811.94,914.83,Card,Regular,Rural
100252,2023-05-09,Fruits,Banana,9,255.3,10,2067.93,324.88,Cash,Member,Rural
100253,2023-09-24,Beverages,Juice,14,456.77,0,6394.78,1020.66,Card,Member,Semi-Urban
100254,2023-05-31,Fruits,Banana,3,81.84,0,245.52,43.36,Cash,New,Urban
100255,2023-10-25,Household,Detergent,16,,10,4701.6,1255.86,Cash,Member,Rural
100256,2023-04-09,Beverages,Juice,2,124.11,0,248.22,72.84,Card,New,Semi-Urban
100257,2023-09-20,Dairy,Yogurt,10,86.81,15,737.88,138.52,UPI,New,Rural
100258,2023-09-09,Snacks,Nuts,3,344.88,0,1034.64,184.86,Card,New,Semi-Urban
100259,2023-05-24,Dairy,Butter,11,300.91,5,3144.51,846.85,Card,Regular,Urban
100260,2023-12-12,Vegetables,Potato,11,379.87,15,3551.78,658.43,UPI,Regular,Semi-Urban
100261,2023-04-22,Fruits,Orange,13,161.64,5,1996.25,420.02,Cash,Member,Rural
100262,2023-03-01,Household,Cleaner,7,,0,1606.57,234.86,Card,New,Rural
100263,2023-01-02,Beverages,Juice,17,208.68,5,3370.18,838.17,UPI,New,Semi-Urban
100264,2023-10-31,Beverages,Juice,2,492.2,0,984.4,203.18,UPI,Member,Urban
100265,2023-09-11,Fruits,Apple,12,153.2,0,1838.4,481.31,Cash,New,Urban
100266,2023-05-20,Household,Detergent,10,154.46,20,1235.68,316.52,UPI,Member,Rural
100267,2023-02-06,Fruits,Apple,18,183.73,10,2976.43,425.63,Cash,New,Rural
100268,2023-06-09,Vegetables,Tomato,11,286.65,5,2995.49,728.29,Card,Regular,Semi-Urban
100269,2023-01-09,Dairy,Cheese,16,133.64,0,2138.24,555.97,UPI,Member,Semi-Urban
100270,2023-08-21,Beverages,Soda,17,458.49,0,7794.33,1318.97,Card,Member,Semi-Urban
100271,2023-04-09,Vegetables,Carrot,19,140.19,0,2663.61,358.31,UPI,Regular,Urban
100272,2023-05-27,Dairy,Milk,18,448.95,5,7677.04,771.75,,Member,Urban
100273,2023-10-31,Vegetables,Tomato,3,60.7,10,163.89,31.17,Card,Regular,Rural
100274,2023-07-27,Household,Soap,16,331.72,5,5042.14,859.62,UPI,New,Rural
100275,2023-05-11,Beverages,Coffee,6,454.42,10,2453.87,517.72,Card,Regular,Rural
100276,2023-06-01,Fruits,Apple,12,92.69,0,1112.28,153.06,Card,Regular,Semi-Urban
100277,2023-02-23,Fruits,Mango,11,484.48,0,5329.28,1449.21,Cash,Member,Urban
100278,2023-04-30,Dairy,Butter,15,231.91,0,3478.65,527.19,Card,New,Rural
100279,2023-06-10,Snacks,Nuts,15,473.4,0,7101.0,1031.68,Cash,Regular,Rural
100280,2023-04-26,Household,Cleaner,16,341.64,0,5466.24,1072.16,Card,New,Rural
100281,2023-03-16,Dairy,Milk,10,157.78,20,1262.24,252.16,UPI,Regular,Rural
100282,2023-04-23,Snacks,Chocolate,12,102.27,0,1227.24,175.52,Card,Member,Rural
100283,2023-04-14,Vegetables,Carrot,13,158.83,15,1755.07,270.93,UPI,Regular,Rural
100284,2023-12-06,Household,Detergent,4,55.58,0,222.32,29.78,Cash,Regular,Urban
100285,2023-09-11,Vegetables,Onion,7,80.5,20,450.8,109.86,,New,Rural
100286,2023-08-15,Beverages,Tea,2,61.28,5,116.43,29.58,Card,Regular,Urban
100287,2023-04-22,Household,Soap,-5,217.24,15,2769.81,533.09,UPI,Member,Semi-Urban
